group_index	group_status	group_reason	decision_role	keep_sort_rank	keep_decision_reason	original_filename	date	date_added	uuid	filename	asset_scope	path	file_size_bytes	content_sha256	has_location	location	latitude	longitude	raw_location	place	is_live_photo	path_live_photo	live_photo_marker	description	keywords	favorite	hidden	album_titles	folder_paths	safety_checks	location_values
11	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_9550.JPG	2025-05-31T14:36:03.136722+08:00	2025-05-31T14:36:56.945782+08:00	252102B5-D87B-4AF0-A032-EEE2681C3DA4	252102B5-D87B-4AF0-A032-EEE2681C3DA4.jpeg	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/2/252102B5-D87B-4AF0-A032-EEE2681C3DA4.jpeg	120255	62fae1feefd8643be90d84a8ca48311d3c4e0ba2e723b5be01ca3f403c31fa22	True	(None, None)			None | None		False		False			False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
12	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			ScreenRecording_10-13-2020 19-04-56_1.MP4	2020-10-13T19:04:57+08:00	2020-10-14T20:02:28.177526+08:00	8E6FE27B-101A-4D93-BBFA-40C3052BAB65	8E6FE27B-101A-4D93-BBFA-40C3052BAB65.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/8/8E6FE27B-101A-4D93-BBFA-40C3052BAB65.mp4	24142549378	9ac191d433f0e13d5f894dce2f03d4210555c6ce120cea9570a9a889923f5d0b	True	(None, None)			None | None		False		False		HIDE | NSFW	False	False	Chaturbate		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
13	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0392.PNG	2019-03-07T00:40:11+08:00	2019-03-07T00:40:12.267183+08:00	150C5972-7C68-4A29-8530-D7FBDD95C246	150C5972-7C68-4A29-8530-D7FBDD95C246.png	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/1/150C5972-7C68-4A29-8530-D7FBDD95C246.png	3671922	7035d90206261f20a9abc393d88352de414a23dee8f7ac8a2640f97e12cc7bdf	True	(None, None)			None | None		False		False		HIDE	False	False	妖狐 girls	HIDE	"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
14	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0245.JPG	2022-11-11T22:43:53.965508+08:00	2022-11-13T04:54:03.277919+08:00	438BDAC5-356C-4336-A28C-7E1C8C36011B	438BDAC5-356C-4336-A28C-7E1C8C36011B.jpeg	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/4/438BDAC5-356C-4336-A28C-7E1C8C36011B.jpeg	106373	16513ad8bb541e8ac629be4d05e9f986b26bc5085a3caae33d7be84574a5e204	True	(None, None)			None | None		False		False			False	False	2022年11月11日 周思慧 番外篇 今天突然想念她，上微信沒看到她的信息。覺得自己該放下了。但是忍不住又問她最近過得怎麼樣。然後我正在寫這段話的時候她好像回應了！ 唉！結果從10:46聊到11:08，22分鐘！我見好就收！		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
15	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_4983.MOV	2022-06-30T11:11:08+08:00	2023-11-05T16:55:16.135964+08:00	BF15C6A0-9E09-450B-BA8D-A1C3A4B6ACC8	BF15C6A0-9E09-450B-BA8D-A1C3A4B6ACC8.mov	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/B/BF15C6A0-9E09-450B-BA8D-A1C3A4B6ACC8.mov	226701950	a0adebc29ceeb6d0fe3bb681f56bdfc1532b4bacb5e7e7c42c0a9320ef324d02	True	25.0215,121.5324	25.0215	121.5324	25.0215 | 121.5324	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""Taipei City"", ""street"": ""No. 15 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 15 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 15 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.0215,121.5324
16	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			RPReplay_Final1602716023.mp4	2020-10-15T06:53:43+08:00	2020-10-28T14:10:42.324452+08:00	C5B0CD8C-6288-4F77-AD76-2C0E828633DB	C5B0CD8C-6288-4F77-AD76-2C0E828633DB.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/C/C5B0CD8C-6288-4F77-AD76-2C0E828633DB.mp4	2247805300	03d93831b9ec2ffd971ffeb2e56fc43f7b14ed874fd82cd895daad56530a3eb4	True	(None, None)			None | None		False		False		HIDE | NSFW	False	False	Chaturbate		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
17	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			tmp_v4738292322033630852.mp4	2019-11-27T23:23:10+08:00	2019-12-12T09:52:59.523522+08:00	A68A820A-8014-4191-B335-B799F458F703	A68A820A-8014-4191-B335-B799F458F703.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/A/A68A820A-8014-4191-B335-B799F458F703.mp4	61974263	cf6e2cdbc1970c3f302e472e8d3f72afd6706d2694473fee0a4f39edfdb2de3f	True	(None, None)			None | None		False		False		HIDE	False	False	歐美自拍 超級幼女 小蘿莉耍性感露奶又露屄	HIDE	"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
18	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			3320474716416102425.mp4	2020-07-15T17:39:24+08:00	2020-07-16T12:52:03.116081+08:00	6AEE4B90-469E-4DC4-881B-D92532402C5E	6AEE4B90-469E-4DC4-881B-D92532402C5E.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/6AEE4B90-469E-4DC4-881B-D92532402C5E.mp4	18221849	4445c0547b76166bc7db3ee08a478349e4e186315a9a7aee063d579682793e33	True	(None, None)			None | None		False		False			False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
19	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			tmp_v4738285297258698482.mp4	2019-10-23T13:13:20+08:00	2019-12-03T08:35:59.897215+08:00	98D402D7-5414-4E5D-956E-58AB8813513E	98D402D7-5414-4E5D-956E-58AB8813513E.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/9/98D402D7-5414-4E5D-956E-58AB8813513E.mp4	17906144	20ffb66163bc259b4bea720827f3edc2499712e42c740cb905c85a73e34004fd	True	(None, None)			None | None		False		False		HIDE	False	False	Sex Fun Clips - 情色打掃 奶子露出來漂亮	HIDE	"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
20	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_4979.MOV	2022-06-30T10:36:56+08:00	2023-11-05T16:54:48.800297+08:00	DE9D8C6B-D52A-48F5-9B78-4005036A3A91	DE9D8C6B-D52A-48F5-9B78-4005036A3A91.mov	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/D/DE9D8C6B-D52A-48F5-9B78-4005036A3A91.mov	3979998295	d5ac585e4fd25cf566a6380f00eb6a00adebb3ca97c14f0b7ab865ecd0bc8e31	True	25.0215,121.5324	25.0215	121.5324	25.0215 | 121.5324	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""Taipei City"", ""street"": ""No. 15 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 15 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 15 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.0215,121.5324
